"","name","suburb","latitude","longitude","room_type","price","minimum_nights"
"1","Strathlyn Coach House Barossa","Angaston",-34.49389,139.02942,"Entire home/apt",254,2
"2","Strathlyn Lemon Tree Spa  Barossa","Penrice",-34.49403,139.03202,"Entire home/apt",236,2
"3","Strathlyn Spa Garden Suites Barossa","Penrice",-34.49356,139.03221,"Private room",260,1
"4","Shea-Oak Log Studio Shed","Shea-Oak Log",-34.51049,138.81731,"Entire home/apt",102,1
"5","Barossa Valley Apt 1 offers 2 bedrooms 2 bathroom","Tanunda",-34.52835,138.95364,"Entire home/apt",364,2
"6","Gawler River Farm B and B.","Gawler River",-34.60563,138.64823,"Entire home/apt",90,1
"7","The Miners Cottage Barossa Valley","Cockatoo Valley",-34.63884,138.84564,"Private room",210,2
"8","Barossa Peppertree Cottage - Stockwell","Stockwell",-34.43521,139.05354,"Entire home/apt",180,3
"9","Mt McKenzie Raspberry Farm","Flaxman Valley",-34.56405,139.07988,"Entire home/apt",193,2
"10","Views for miles from your own vineyard cottage","Flaxman Valley",-34.575,139.03577,"Entire home/apt",226,2
"11","""The Shed""","Nuriootpa",-34.46397,139.00191,"Entire home/apt",63,1
"12","1837 Barossa Luxury  Vineyard Cottage S Australia","Lyndoch",-34.58347,138.86353,"Entire home/apt",412,2
"13","The Reserve Barossa Valley","Nuriootpa",-34.49133,138.96615,"Entire home/apt",1600,2
"14","Barossa Barn Bed & Breakfast","Penrice",-34.4877,139.04407,"Entire home/apt",269,2
"15","Little Para Cottage","Tanunda",-34.51062,138.97196,"Entire home/apt",186,1
"16","Elderton Wines Guest House","Nuriootpa",-34.47628,138.99761,"Entire home/apt",350,1
"17","Cosy 2-bedroom Cottage in the heart of the Barossa","Tanunda",-34.50314,138.95909,"Entire home/apt",281,2
"18","Vineyard Cottage - Under the Vines","Nuriootpa",-34.50166,138.99752,"Entire home/apt",240,2
"19","Pembury Chase Barossa Valley","Angaston",-34.50182,139.0374,"Private room",95,1
"20","Angels Place: Private Suite","Tanunda",-34.51719,138.96402,"Private room",165,1
"21","Naimanya Cottage Bed & Breakfast","Flaxman Valley",-34.58492,139.02821,"Entire home/apt",190,2
"22","Treasured Memories Cottage offer 3 bedrooms 1 bath","Tanunda",-34.52426,138.95516,"Entire home/apt",350,2
"23","Barossa Idyll Studio -great for romantics","Tanunda",-34.52799,138.95242,"Private room",146,2
"24","Barossa Idyll -centre of town, breathtaking views","Tanunda",-34.52821,138.953,"Entire home/apt",757,1
"25","Barossa Idyll 3 beds - town centre, amazing views","Tanunda",-34.52935,138.95426,"Entire home/apt",413,1
"26","Barossa Idyll 4 beds - town centre, amazing views","Tanunda",-34.52906,138.95436,"Entire home/apt",651,1
"27","Barossa Bed & Breakfast","Tanunda",-34.52206,138.96239,"Entire home/apt",515,1
"28","Pembury Homestead - Barossa Valley- 3 bedrooms","Angaston",-34.49908,139.04063,"Entire home/apt",120,1
"29","Barossa Dreams Ruby Suite full kitchen in Tanunda","Tanunda",-34.52708,138.95417,"Entire home/apt",275,2
"30","Memory Lane 3 bedrooms, 1 bathroom walk to main st","Tanunda",-34.52474,138.95516,"Entire home/apt",350,2
"31","A Secret Treasure 4 bedroom 2 bathrooms in Barossa","Tanunda",-34.52376,138.95447,"Entire home/apt",500,2
"32","Barossa Dreams - Diamond Suite perfect location","Tanunda",-34.52686,138.95383,"Entire home/apt",296,2
"33","Barossa Best great location walk to cafe FREE WIFI","Tanunda",-34.52603,138.95667,"Entire home/apt",350,2
"34","A Secret Garden great location Tanunda Free WIFI","Tanunda",-34.52729,138.95667,"Entire home/apt",350,2
"35","Shalamar at Tanunda - Barossa Getaway","Tanunda",-34.51498,138.97703,"Entire home/apt",135,1
"36","Barossa Dreams - Sapphire Suite","Tanunda",-34.5274,138.9535,"Entire home/apt",275,2
"37","Barossa Dreams - Emerald Suite","Tanunda",-34.52886,138.95293,"Private room",275,2
"38","The Stables","Tanunda",-34.57022,138.92651,"Entire home/apt",180,2
"39","The Lodge Angaston","Angaston",-34.5019,139.04648,"Entire home/apt",600,1
"40","Little House in the Barossa","Nuriootpa",-34.46257,139.00982,"Entire home/apt",150,3
"41","Tin House in Tanunda offers 3 bedrooms 2 bathrooms","Tanunda",-34.52386,138.95783,"Entire home/apt",500,2
"42","Historic Angaston Masonic Lodge","Angaston",-34.50184,139.04554,"Entire home/apt",250,1
"43","The Cottage at Riverside Farm","Lyndoch",-34.57135,138.89655,"Entire home/apt",269,2
"44","Barossa Millhouse","Kapunda",-34.33806,138.91284,"Entire home/apt",239,2
"45","A Barn in the Barossa","Kapunda",-34.34313,138.92219,"Entire home/apt",250,2
"46","Angaston by the Winter Creek","Angaston",-34.50152,139.04956,"Entire home/apt",382,2
"47","Retro Barossa Style","Angaston",-34.50898,139.04504,"Entire home/apt",140,2
"48","Bluebird Cottage is a relaxing 100year old cottage","Angaston",-34.49966,139.04964,"Entire home/apt",235,2
"49","Barossa Vineyard Cottages","Bethany",-34.53891,138.97053,"Hotel room",320,2
"50","Barossa Glen - Henri's Cottage - Bed and Breakfast","Sandy Creek",-34.5818,138.83223,"Entire home/apt",240,2
"51","Wroxton Grange","Angaston",-34.54959,139.05358,"Entire home/apt",181,1
"52","Lambert Estate Retreat","Angaston",-34.50782,139.03909,"Entire home/apt",250,1
"53","Lemke Cottage,Moculta, Barossa Valley","Moculta",-34.46621,139.1186,"Entire home/apt",200,2
"54","Barossa Valley Apt 4 offers 2 bedrooms 2 bathroom","Tanunda",-34.52814,138.95356,"Entire home/apt",400,2
"55","Luxury Affordable Barossa. West Wing 1 Bedroom.","Angaston",-34.50053,139.04458,"Entire home/apt",240,1
"56","Barossa Valley Apt 3 offers 2 bedrooms 2 bathroom","Tanunda",-34.52702,138.95253,"Entire home/apt",400,2
"57","Barossa Valley Apt 2 offers 2 bedrooms 2 bathroom","Tanunda",-34.52836,138.95221,"Entire home/apt",400,2
"58","Luxury Affordable Barossa. West Wing 2 Bedrooms.","Angaston",-34.49891,139.04441,"Entire home/apt",379,1
"59","Barossa Valley Dreams Home for up to 17 people","Tanunda",-34.52914,138.9519,"Entire home/apt",1200,2
"60","Retro Barossa","Tanunda",-34.52752,138.97211,"Private room",160,2
"61","Casa Rossa - modern Barossa home with vineyard","Lyndoch",-34.59863,138.87511,"Entire home/apt",251,2
"62","Bilyara House - in the heart of Tanunda","Tanunda",-34.52282,138.96057,"Entire home/apt",346,2
"63","The Art Box home gallery stay","Angaston",-34.49457,139.05402,"Private room",80,1
"64","Elsies Cottage","Tanunda",-34.52517,138.95926,"Entire home/apt",154,2
"65","Go Go's, Eden Valley the Garden of Grapes and Gums","Eden Valley",-34.64114,139.09734,"Entire home/apt",170,2
"66","Barossa Valley Farm Cottage - Buckbury End Farm","Sandy Creek",-34.5685,138.83272,"Entire home/apt",136,2
"67","The Old Manse Shed, Barossa Valley","Light Pass",-34.46935,139.02272,"Entire home/apt",155,2
"68","Seppeltsfield Vineyard Cottage. Luxury & Privacy.","Marananga",-34.49022,138.91001,"Entire home/apt",804,1
"69","Indulge and Relax Tanunda","Tanunda",-34.5199,138.96494,"Entire home/apt",200,1
"70","Somerton House","Angaston",-34.5052,139.04636,"Entire home/apt",210,2
"71","The Stables at 1860 Wine Country Cottages","Springton",-34.72248,139.06794,"Entire home/apt",195,3
"72","""LiebenGott"" - Luxury 4 bedroom, central location","Tanunda",-34.51015,138.97783,"Entire home/apt",220,1
"73","The Writer's Studio, Barossa","Tanunda",-34.52511,138.96518,"Entire home/apt",121,2
"74","Martinsell Cottage Barossa Valley","Mount Crawford",-34.68232,138.97028,"Entire home/apt",105,2
"75","Historic home on 65 acres in top Barossa location","Tanunda",-34.50639,138.96237,"Entire home/apt",322,2
"76","Hill House Angaston","Angaston",-34.50284,139.04411,"Private room",150,2
"77","Country Retreat on the edge of Barossa Valley","Mount Pleasant",-34.77475,139.04702,"Entire home/apt",251,2
"78","Country Pleasures Bed and Breakfast","Angaston",-34.49346,139.04636,"Entire home/apt",229,2
"79","Boongarrie Luxury Tent - privacy, luxury, nature","Flaxman Valley",-34.61,139.06722,"Entire home/apt",229,2
"80","Miriam's Cottage self contained Bed and Breakfast","Tanunda",-34.51922,138.96131,"Entire home/apt",264,2
"81","Azalea Cedar-Rose Barossa Vineyard Views Villa","Lyndoch",-34.60384,138.89156,"Entire home/apt",372,2
"82","Jasmine's Cottage Barossa Valley Vineyard Views","Lyndoch",-34.60458,138.89126,"Entire home/apt",284,2
"83","Your complete Barossa experience for up to 16","Tanunda",-34.52852,138.95372,"Entire home/apt",1920,1
"84","Barossa Dreams and Apartments perfect for groups","Tanunda",-34.52656,138.95249,"Entire home/apt",2500,1
"85","The Reserve Barossa Valley","Nuriootpa",-34.4909,138.96345,"Entire home/apt",1600,3
"86","Pinecone Ridge, Barossa - a rural retreat","Angaston",-34.51496,139.04008,"Entire home/apt",314,2
"87","Pembury Cottage ~ Angaston,  Great location in the Barossa  Valley","Angaston",-34.50094,139.05146,"Entire home/apt",285,2
"88","Sanctuary in the Valley 3 bedrooms 2 bathrooms","Nuriootpa",-34.46729,138.98205,"Entire home/apt",500,2
"89","Luxury In Langmeil Estate","Tanunda",-34.51356,138.96883,"Entire home/apt",300,2
"90","Hutton Vale Farm - Hutch Hilton","Angaston",-34.52053,139.10934,"Entire home/apt",490,1
"91","Discovery Parks - Barossa 3 Bedroom House","Tanunda",-34.53202,138.95014,"Entire home/apt",250,2
"92","Jesmond Dene - Barossa","Angaston",-34.50589,139.04655,"Entire home/apt",190,2
"93","Old Barossa Valley Inn & Bakery House..Get it all!","Lyndoch",-34.60358,138.88701,"Entire home/apt",188,1
